name,number,image,type.0,type.1,type.2,hp,attack,defense,sp_atk,sp_def,speed,heightM,weightKG,evo_from,evo_to.0,evo_to.1,evo_to.2,evo_to.3,evo_to.4,evo_to.5,evo_to.6,evo_to.7
Skiddo,672,672 Skiddo.jpg,Grass,,,66,65,48,62,57,52,0.9,31,,Gogoat,,,,,,,
Gogoat,673,673 Gogoat.jpg,Grass,,,123,100,62,97,81,68,1.7,91,Skiddo,,,,,,,,
Pancham,674,674 Pancham.jpg,Fighting,,,67,82,62,46,48,43,0.6,8,,Pangoro,,,,,,,
Pangoro,675,675 Pangoro.jpg,Fighting,Dark,,95,124,78,69,71,58,2.1,136,Pancham,,,,,,,,
Furfrou,676,676 Furfrou.jpg,Normal,,,75,80,60,65,90,102,1.2,28,,,,,,,,,
Espurr,677,677 Espurr.jpg,Psychic,,,62,48,54,63,60,68,0.3,3.5,,Meowstic Female,Meowstic Male,,,,,,
Meowstic Female,678,678 Meowstic Female.jpg,Psychic,,,74,48,76,83,81,104,0.6,8.5,Espurr,,,,,,,,
Meowstic Male,678,678 Meowstic Male.jpg,Psychic,,,74,48,76,83,81,104,0.6,8.5,Espurr,,,,,,,,
Honedge,679,679 Honedge.jpg,Steel,Ghost,,45,80,100,35,37,28,0.8,2,,Doublade,,,,,,,
Doublade,680,680 Doublade.jpg,Steel,Ghost,,59,110,150,54,49,35,0.8,4.5,Honedge,Aegislash Blade,Aegislash Shield,,,,,,
Aegislash Blade,681,681 Aegislash Blade.jpg,Steel,Ghost,,60,50,140,50,140,60,1.7,53,Doublade,,,,,,,,
Aegislash Shield,681,681 Aegislash Shield.jpg,Steel,Ghost,,60,140,50,140,50,60,1.7,53,Doublade,,,,,,,,
Spritzee,682,682 Spritzee.jpg,Fairy,,,78,52,60,63,65,23,0.2,0.5,,Aromatisse,,,,,,,
Aromatisse,683,683 Aromatisse.jpg,Fairy,,,101,72,72,99,889,29,0.8,15.5,Spritzee,,,,,,,,
Swirlix,684,684 Swirlix.jpg,Fairy,,,62,48,66,59,57,49,0.4,3.5,,Slurpuff,,,,,,,
Slurpuff,685,685 Slurpuff.jpg,Fairy,,,82,80,86,85,75,72,0.8,5,Swirlix,,,,,,,,
